Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Quantity,Original Name
C,CITIGROUP CAPITAL XIII,C-N,29.6,Citigroup Capital Trust,1.41,"189,834,804.80","6,413,338.00",CITIGROUP CAPITAL XIII
JPM,JPMORGAN CHASE & CO,JPM-C,25.04,JPMorgan Chase,0.98,"132,277,105.28","5,282,632.00",JPMORGAN CHASE & CO
JPM,JPMORGAN CHASE & CO,JPM-D,24.58,JPMorgan Chase,0.88,"119,052,738.40","4,843,480.00",JPMORGAN CHASE & CO
JPM,JPMORGAN CHASE NON-CUMULATIVE PREF,JPM-L,19.32,JPMorgan Chase,0.76,"102,060,450.24","5,282,632.00",JPMORGAN CHASE NON-CUMULATIVE PREF
JPM,JPMORGAN CHASE AND CO DS REPSTG T,JPM-M,17.83,JPMorgan Chase,0.75,"101,824,134.56","5,710,832.00",JPMORGAN CHASE AND CO DS REPSTG T
WFC,WELLS FARGO & COMPANY,WFC-Z,18.96,Wells Fargo,0.75,"101,635,705.68","5,360,533.00",WELLS FARGO & COMPANY
T,AT&T INC,T-C,18.67,AT&T,0.69,"93,294,232.71","4,997,013.00",AT&T INC
JPM,JPMORGAN CHASE DRC,JPM-K,18.95,JPMorgan Chase,0.6,"81,166,393.65","4,283,187.00",JPMORGAN CHASE DRC
COF,CAPITAL ONE FINANCIAL CORPORATION,COF-I,18.74,Capital One Financial,0.59,"80,266,924.38","4,283,187.00",CAPITAL ONE FINANCIAL CORPORATION
GS,GOLDMAN SACHS GROUP INC,GS-D,19.17,Goldman Sachs Group,0.55,"73,895,059.08","3,854,724.00",GOLDMAN SACHS GROUP INC
MS,MORGAN STANLEY,MS-Q,25.85,Morgan Stanley,0.55,"73,812,607.00","2,855,420.00",MORGAN STANLEY
MS,MORGAN STANLEY,MS-P,25.48,Morgan Stanley,0.54,"72,756,101.60","2,855,420.00",MORGAN STANLEY
MS,MORGAN STANLEY DS REPRESENTING F,MS-I,25.25,Morgan Stanley,0.53,"72,099,355.00","2,855,420.00",MORGAN STANLEY DS REPRESENTING F
DUK,DUKE ENERGY CORP,DUK-A,24.85,Duke Energy,0.53,"70,957,187.00","2,855,420.00",DUKE ENERGY CORP
MS,MORGAN STANLEY,MS-K,24.15,Morgan Stanley,0.51,"68,958,393.00","2,855,420.00",MORGAN STANLEY
T,AT&T INC,T-A,19.93,AT&T,0.51,"68,292,018.42","3,426,594.00",AT&T INC
ALL,ALLSTATE CORPORATION (THE),ALL-H,20.41,Allstate,0.5,"67,022,602.92","3,283,812.00",ALLSTATE CORPORATION (THE)
BAC,BANK OF AMERICA CORP,BAC-B,24.96,Bank of America,0.49,"65,738,300.16","2,633,746.00",BANK OF AMERICA CORP
MS,MORGAN STANLEY,MS-O,17.48,Morgan Stanley,0.48,"64,885,969.76","3,712,012.00",MORGAN STANLEY
COF,CAPITAL ONE FINANCIAL CORPORATION,COF-J,17.84,Capital One Financial,0.47,"63,677,346.72","3,569,358.00",CAPITAL ONE FINANCIAL CORPORATION
MS,MORGAN STANLEY,MS-E,25.63,Morgan Stanley,0.47,"63,124,075.74","2,462,898.00",MORGAN STANLEY
MS,MORGAN STANLEY DS,MS-F,25.41,Morgan Stanley,0.46,"61,673,881.50","2,427,150.00",MORGAN STANLEY DS
MS,MORGAN STANLEY,MS-A,19.39,Morgan Stanley,0.45,"60,904,746.21","3,141,039.00",MORGAN STANLEY
ATH,ATHENE HOLDING DS REPRESENTING P,ATH-A,23.57,Athene Holding LTD,0.43,"58,038,191.37","2,462,898.00",ATHENE HOLDING DS REPRESENTING P
WFC,WELLS FARGO & COMPANY,WFC-A,18.76,Wells Fargo,0.43,"57,620,739.68","3,071,468.00",WELLS FARGO & COMPANY
C,CITIGROUP INC,C-R,24.83,Citigroup,0.42,"56,540,740.62","2,277,114.00",CITIGROUP INC
WFC,WELLS FARGO & COMPANY,WFC-D,17.13,Wells Fargo,0.42,"56,166,375.03","3,278,831.00",WELLS FARGO & COMPANY
MET,METLIFE INC,MET-F,18.91,MetLife Inc,0.4,"53,995,992.20","2,855,420.00",METLIFE INC
USB,US BANCORP,USB-H,18.49,US Bancorp,0.39,"52,796,863.72","2,855,428.00",US BANCORP
MET,METLIFE INC,MET-E,22.85,MetLife Inc,0.39,"52,523,124.25","2,298,605.00",METLIFE INC
NLY,ANNALY CAPITAL MANAGEMENT INC,NLY-F,25.35,Annaly Capital Management,0.39,"52,119,802.80","2,056,008.00",ANNALY CAPITAL MANAGEMENT INC
BAC,BANK OF AMERICA CORPORATION DEPOSI,BAC-N,20.38,Bank of America,0.38,"51,596,086.76","2,531,702.00",BANK OF AMERICA CORPORATION DEPOSI
JPM,JPMORGAN CHASE & CO,JPM-J,19.84,JPMorgan Chase,0.38,"50,986,260.48","2,569,872.00",JPMORGAN CHASE & CO
TFC,TRUIST FINANCIAL DRC CORP,TFC-R,18.53,Truist Financial,0.36,"48,941,954.84","2,641,228.00",TRUIST FINANCIAL DRC CORP
WFC,WELLS FARGO & COMPANY,WFC-C,17.37,Wells Fargo,0.35,"47,547,647.91","2,737,343.00",WELLS FARGO & COMPANY
EQH,EQUITABLE HLDNGS DRC REPRESENTING,EQH-A,19.89,Equitable Holdings,0.34,"46,145,814.39","2,320,051.00",EQUITABLE HLDNGS DRC REPRESENTING
ALL,ALLSTATE DEP REPSTG TH NON CUM PE,ALL-J,26.35,Allstate,0.33,"45,142,635.55","1,713,193.00",ALLSTATE DEP REPSTG TH NON CUM PE
BAC,BANK OF AMERICA CORP,BAC-Q,17.04,Bank of America,0.32,"42,892,065.60","2,517,140.00",BANK OF AMERICA CORP
KEY,KEYCORP,KEY-L,24.8,KeyCorp,0.31,"42,481,875.50","1,713,193.00",KEYCORP
