Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Original Name
BA,BOEING,BA,75.42,BOEING CO,4.63,641703000.06,BOEING CO
WFC,WELLS FARGO & COMPANY SERIES L,WFC-L,1236.89,WELLS FARGO & COMPANY SERIES L,2.39,332129702.8,WELLS FARGO & COMPANY SERIES L
ALB,ALBEMARLE,ALB,64.72,ALBEMARLE CORP,1.59,220794933.52,ALBEMARLE CORP
C,CITIGROUP,C,29.63,CITIGROUP CAPITAL XIII,1.42,197420808.47,CITIGROUP CAPITAL XIII
MSTR,MICROSTRATEGY PERP STRETCH PRF SE,MSTR,93.67,MICROSTRATEGY PERP STRETCH PRF SE,1.41,194995649.1,MICROSTRATEGY PERP STRETCH PRF SE
BAC,BANK OF AMERICA,BAC,1250.57,BANK OF AMERICA CORP,1.37,190290482.91,BANK OF AMERICA CORP
KKR,KKR &,KKR,43.55,KKR & CO INC,1.21,167615588.4,KKR & CO INC
NEE,NEXTERA ENERGY,NEE,56.32,NEXTERA ENERGY UNITS INC,1.21,167555322.88,NEXTERA ENERGY UNITS INC
XTSLA,BLK CSH FND TREASURY SL AGENCY,XTSLA,1.0,BLK CSH FND TREASURY SL AGENCY,1.12,155989036.52,BLK CSH FND TREASURY SL AGENCY
SO,SOUTHERN COMPANY (THE),SO,51.02,SOUTHERN COMPANY (THE),1.09,151315830.28,SOUTHERN COMPANY (THE)
MCHP,MICROCHIP TECHNOLOGY,MCHP,68.14,MICROCHIP TECHNOLOGY INCORPORATED,1.09,150519011.38,MICROCHIP TECHNOLOGY INCORPORATED
HPE,HEWLETT PACKARD ENTERPRISE,HPE,63.27,HEWLETT PACKARD ENTERPRISE CONV PR,1.02,141166821.87,HEWLETT PACKARD ENTERPRISE CONV PR
APO,APOLLO GLOBAL MANAGEMENT,APO,65.22,APOLLO GLOBAL MANAGEMENT INC,1.01,139459469.46,APOLLO GLOBAL MANAGEMENT INC
JPM,JPMORGAN CHASE &,JPM,25.09,JPMORGAN CHASE & CO,1.0,138086101.79,JPMORGAN CHASE & CO
JPM,JPMORGAN CHASE &,JPM,24.88,JPMORGAN CHASE & CO,0.91,125551521.04,JPMORGAN CHASE & CO
